epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
48,20181.5,1.11649,1.10902,1.38167,0.61976,0.65784,0.70388,0.45552,1.27756,0.93283,1.6819,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,20807.4,1.10712,1.09751,1.37792,0.62332,0.66647,0.70664,0.45821,1.27642,0.9315,1.6833,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,21436.2,1.1038,1.10072,1.3764,0.62843,0.66741,0.70868,0.46061,1.27724,0.93211,1.68495,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,22064,1.09869,1.08727,1.37328,0.61464,0.67875,0.70952,0.46361,1.27781,0.93188,1.68616,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,625.803,1.07304,1.02735,1.35648,0.62209,0.67963,0.71025,0.4603,1.2789,0.93283,1.68821,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,1260.28,1.08242,1.05637,1.36055,0.63492,0.67336,0.70657,0.45529,1.27924,0.93314,1.68993,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,1898.32,1.08222,1.05361,1.36061,0.63399,0.66905,0.70542,0.45496,1.27971,0.9302,1.69146,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,2536.65,1.07184,1.0356,1.35317,0.62542,0.66165,0.70338,0.45426,1.28091,0.93061,1.69378,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,3174.79,1.06826,1.03737,1.35295,0.61959,0.6678,0.70303,0.4538,1.28087,0.92923,1.69481,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,3813.1,1.06523,1.02735,1.35144,0.63445,0.65627,0.70296,0.45464,1.28148,0.92736,1.69698,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,4453.81,1.06037,1.01709,1.34645,0.64738,0.65703,0.70213,0.45412,1.28221,0.92532,1.69871,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,5086.54,1.05998,1.00984,1.34481,0.65267,0.65271,0.7036,0.45342,1.2827,0.92476,1.69968,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,5716.61,1.0545,0.99502,1.34038,0.65266,0.65217,0.70274,0.45382,1.28346,0.92581,1.70116,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,6343.56,1.0439,0.98772,1.33488,0.64423,0.65784,0.70125,0.45258,1.28411,0.92761,1.70311,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,622.356,0.94951,0.84822,1.28095,0.65838,0.64105,0.70225,0.45307,1.2852,0.9291,1.70607,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,1245.95,0.98399,0.90029,1.29911,0.65984,0.64057,0.7007,0.45154,1.28614,0.93023,1.70873,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,1868.28,1.00174,0.92451,1.3095,0.65947,0.64323,0.70142,0.45022,1.28713,0.93142,1.71079,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,2490.56,1.00446,0.92566,1.31036,0.6431,0.64834,0.69761,0.4495,1.28796,0.93207,1.71295,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,3112.86,1.01106,0.9421,1.31743,0.63054,0.65152,0.6981,0.45009,1.28861,0.93317,1.71468,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,3736.73,1.02191,0.94626,1.32287,0.63194,0.65332,0.69776,0.44806,1.28963,0.9346,1.71621,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,4358.62,1.02024,0.95128,1.32022,0.63191,0.65445,0.69811,0.44876,1.29012,0.9362,1.71763,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,4981.23,1.02391,0.9511,1.32311,0.63615,0.66216,0.69943,0.44872,1.29026,0.93813,1.71856,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,5604.48,1.0243,0.94412,1.31993,0.6266,0.66733,0.69875,0.44842,1.29128,0.93936,1.72,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,6227,1.01705,0.94439,1.31812,0.61909,0.67042,0.69792,0.44681,1.292,0.94022,1.72122,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,6849.15,1.02007,0.93713,1.32139,0.61759,0.66805,0.69759,0.44646,1.29187,0.94102,1.72193,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,7471.68,1.01307,0.93267,1.31416,0.61391,0.67178,0.69774,0.44677,1.29254,0.94173,1.72288,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,8095.23,1.00845,0.92245,1.31345,0.60784,0.67355,0.69686,0.44579,1.29286,0.94167,1.7234,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,8716.2,1.00622,0.90955,1.31124,0.60512,0.6806,0.69699,0.44602,1.29362,0.94237,1.72478,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,9339.92,0.99715,0.91017,1.30562,0.59628,0.68226,0.69626,0.44458,1.29408,0.94269,1.72596,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,9961.91,0.99317,0.89654,1.30182,0.59739,0.68542,0.69566,0.44498,1.2946,0.94292,1.72695,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,627.49,0.85859,0.73675,1.22658,0.5951,0.68688,0.69421,0.44332,1.29507,0.94391,1.72884,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,1267.35,0.9024,0.78556,1.24729,0.60242,0.68241,0.69505,0.44373,1.29609,0.94501,1.73139,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
